make: hw3.out started >>>
node: 6, x: 12.92, y: 9.94, w: 2.50, h: 2.00
node: 7, x: 1.96, y: 13.29, w: 3.65, h: 1.10
node: 8, x: 0.32, y: 17.63, w: 3.42, h: 2.05
node: 9, x: 0.13, y: 11.66, w: 4.90, h: 1.63
node: 10, x: 2.00, y: 4.99, w: 3.16, h: 4.43
node: 11, x: 7.58, y: 5.29, w: 2.05, h: 4.39
node: 12, x: 4.04, y: 14.49, w: 4.00, h: 2.00
node: 13, x: -0.00, y: 5.32, w: 2.00, h: 6.00
node: 14, x: 7.60, y: 9.68, w: 2.00, h: 3.00
node: 15, x: 23.11, y: 6.37, w: 1.41, h: 5.66
node: 16, x: 4.11, y: 16.49, w: 3.87, h: 3.10
node: 17, x: 15.42, y: 9.88, w: 2.83, h: 2.12
node: 18, x: 12.21, y: 17.75, w: 2.67, h: 1.87
node: 19, x: 9.46, y: 14.38, w: 2.74, h: 2.19
node: 20, x: 8.48, y: 12.92, w: 2.83, h: 1.41
node: 21, x: 9.67, y: 5.04, w: 2.50, h: 2.00
node: 22, x: 2.24, y: 9.42, w: 2.68, h: 2.24
node: 23, x: 16.16, y: 5.05, w: 2.00, h: 2.00
node: 24, x: 5.16, y: 10.69, w: 1.41, h: 2.12
node: 25, x: 14.80, y: 12.05, w: 2.11, h: 5.69
node: 26, x: 5.23, y: 5.03, w: 2.28, h: 1.75
node: 27, x: 18.57, y: 10.03, w: 4.00, h: 2.00
node: 28, x: 17.01, y: 12.23, w: 2.54, h: 3.55
node: 29, x: 22.95, y: 14.85, w: 1.73, h: 3.46
node: 30, x: 20.57, y: 5.53, w: 2.00, h: 2.00
node: 31, x: 18.57, y: 8.03, w: 4.00, h: 2.00
node: 32, x: 20.05, y: 16.76, w: 2.42, h: 2.90
node: 33, x: 14.88, y: 17.74, w: 2.11, h: 1.90
node: 34, x: 19.57, y: 12.03, w: 3.38, h: 4.73
node: 35, x: 12.29, y: 13.10, w: 2.51, h: 3.59
node: 36, x: 15.75, y: 7.05, w: 2.83, h: 2.83
node: 37, x: 8.82, y: 18.16, w: 2.61, h: 1.53
node: 38, x: 8.04, y: 14.42, w: 1.41, h: 2.12
node: 39, x: 12.66, y: 7.41, w: 3.02, h: 2.32
node: 40, x: 9.63, y: 7.04, w: 2.58, h: 3.87
node: 41, x: 0.01, y: 14.40, w: 4.03, h: 3.22
node: 42, x: 5.50, y: 6.79, w: 1.73, h: 3.46
node: 43, x: 16.99, y: 15.78, w: 2.58, h: 1.55
node: 44, x: 17.10, y: 17.33, w: 2.36, h: 2.12
node: 45, x: 12.58, y: 5.20, w: 3.16, h: 2.21
area: 362.781790 = 24.68 * 14.70
node: 1, x: 0.03, y: 7.31, w: 2.00, h: 2.00
node: 2, x: 12.18, y: 18.52, w: 3.16, h: 1.58
node: 3, x: 25.87, y: 9.06, w: 1.00, h: 3.00
node: 4, x: 0.29, y: 17.23, w: 1.41, h: 2.83
node: 5, x: 2.03, y: 6.81, w: 2.00, h: 3.00
node: 6, x: 20.89, y: 6.80, w: 2.50, h: 2.00
node: 7, x: 3.41, y: 18.97, w: 3.65, h: 1.10
node: 8, x: 23.39, y: 6.77, w: 3.42, h: 2.05
